,,AVGCA RADIO CALL SIGN - EPIRB HEX NO & MMSI NO DATA BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACMA ,Type of,ACMA,ACMA,CG,New,,,Licence,,DSC VHF,Station Aerials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,Location,Call Sign,Station,Licence,SITE ID,DOM,DOM,EPIRB,HEX No,Expire,MMSI No,Operative,Checked,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Jacket CG7,Old,,,,,,,94609,3EF6B 8C8BF 81FE0,3-Jan-12,,,,Life Jacket EPIRB onboard CG07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Jacket CG7,Old,,,,,,,94622,3EF6B 8CF3F 81FE0,3-Jan-12,,,,Life Jacket EPIRB onboard CG07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Jacket CG7,Old,,,,,,,94560,3EF6B 8B03F 8IFE0,3-Jan-12,,,,Life Jacket EPIRB onboard CG07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Jacket CG7,Old,,,,,,,94562,3EF6B 8B13F 81FE0,3-Jan-12,,,,Life Jacket EPIRB onboard CG07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG07 ,Life Jacket EPIRB,PLB-1,,,,,,0140502371M,3EF7059CBF81FE0,J5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG07 ,Life Jacket EPIRB,PLB-2,,,,,,0140502372M,3EF7059D3F81FE0,J111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG07 ,Life Jacket EPIRB,PLB-3,,,,,,0140502373M,3EF7059DBF81FE0,J121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG07 ,Life Jacket EPIRB,PLB-4,,,,,,0140502374M,3EF7059E3F81FE0,J140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG07 ,Life Jacket EPIRB,PLB-5,,,,,,0140502375M,3EF7059EBF81FE0,J142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG07 ,Life Jacket EPIRB,PLB-6,,,,,,0140502376M,3EF7059F3F81FE0,J45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8 ,Geelong,VMR 368,LCMR,348652,47803,1307315,1965224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG08 ,,VK 2336,SSCBNA,1307741,,,,603251,BEEE6 4D1CC 00259,22-Feb-12,503401100,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8 / SB,Hamlyn Heights,VMR 368,LCMR,348645,,1307308,,,,22-Feb-12,,,,"VF8 Standby base 14 Shannon Ave Hamlyn Heights, Peter Barrow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8 / SB,Newcomb,VMR 368,LCMR,349840,,1307322,,,,22-Feb-12,,,,"VF8 Standby base 45 Andrews St Newcomb, Glen Spokes ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8 / SB,Wallington,VMR 368,LCMR,348654,303754,1307317,1965225,,,22-Feb-12,,,,"VF8 Standby base 6 Wattle Grove Wallington, Gary Tomlins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG08 ,Life Jacket EPIRB,PLB-1,,,,,,0140502377M,3EF7059FBF81FE0,J92,,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG08 ,Life Jacket EPIRB,PLB-2,,,,,,0140502378M,3EF705A03F81FE0,J53,,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG08 ,Life Jacket EPIRB,PLB-3,,,,,,0140502379M,3EF705A0BF81FE0,J168,,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG08 ,Life Jacket EPIRB,PLB-4,,,,,,0140502380M,3EF705A13F81FE0,J32,,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
